,City,Latitude,Longitude,Temperature,Humidity,Cloud_Cover,Wind,Country,Date
276,saint george,37.1,-113.58,108.59,6,1,3.36,US,1597532387
277,marzuq,14.4,46.47,81.99,54,74,7.0,YE,1597532387
278,touho,-20.78,165.23,71.67,83,100,14.74,NC,1597532387
279,cidreira,-30.18,-50.21,59.99,90,3,5.99,BR,1597532387
280,jiaohe,43.73,127.34,69.39,86,73,1.3,CN,1597532388
281,namibe,-15.2,12.15,60.31,88,59,6.02,AO,1597532388
282,at-bashi,41.17,75.81,52.32,47,0,0.83,KG,1597532388
283,tevriz,57.51,72.4,45.55,96,54,2.71,RU,1597532388
284,usman,52.05,39.73,55.4,66,79,6.35,RU,1597532389
285,boyolangu,-8.12,111.89,74.34,92,61,2.82,ID,1597532389
286,verkhnyaya inta,65.98,60.31,45.93,74,20,4.9,RU,1597532389
287,bulgan,48.81,103.53,53.51,92,100,5.61,MN,1597532390
288,kokhma,56.93,41.09,49.39,94,26,3.83,RU,1597532390
289,paracuru,-3.41,-39.03,79.0,74,96,18.99,BR,1597532390
290,waingapu,-9.66,120.26,74.57,68,18,4.54,ID,1597532390
291,tabas,33.6,56.92,95.0,14,0,9.17,IR,1597532391
292,swadlincote,52.77,-1.56,60.03,100,75,9.17,GB,1597532391
293,krizevci,46.02,16.54,66.61,88,60,1.86,HR,1597532391
294,severo-kurilsk,50.68,156.12,55.15,77,91,5.84,RU,1597532391
295,pisco,-13.7,-76.22,65.68,72,36,8.05,PE,1597532297
296,mount gambier,-37.83,140.77,39.2,100,40,5.82,AU,1597532392
297,santona,43.44,-3.46,66.07,77,40,6.93,ES,1597532392
298,bosaso,11.28,49.18,89.13,44,57,23.98,SO,1597532392
299,gananoque,44.33,-76.17,82.69,52,48,3.0,CA,1597532392
300,margate,51.38,1.39,67.96,93,69,1.21,GB,1597532393
301,skopin,53.82,39.55,55.0,86,48,1.99,RU,1597532393
302,glenluce,54.88,-4.81,61.0,90,93,5.37,GB,1597532393
303,do gonbadan,30.36,50.8,84.2,30,0,0.49,IR,1597532393
304,hit,33.64,42.83,86.04,21,0,12.53,IQ,1597532394
305,truth or consequences,33.13,-107.25,97.56,14,1,12.75,US,1597532394
306,coari,-4.08,-63.14,83.79,43,54,0.89,BR,1597532394
307,ketchikan,55.34,-131.65,59.0,100,90,11.41,US,1597532394
308,bengkulu,-3.8,102.27,75.36,91,98,4.97,ID,1597532394
309,ciudad bolivar,8.12,-63.55,85.21,67,44,8.23,VE,1597532395
310,henties bay,-22.12,14.28,53.01,85,0,1.01,NA,1597532395
311,mishan,45.55,131.88,69.76,85,3,5.57,CN,1597532097
312,avera,33.19,-82.53,79.63,79,40,5.82,US,1597532396
313,grindavik,63.84,-22.43,51.8,100,90,13.87,IS,1597532396
314,ternate,0.8,127.4,80.64,78,59,0.51,ID,1597532396
315,taoudenni,22.68,-3.98,105.49,9,28,10.8,ML,1597532396
316,turukhansk,65.82,87.98,58.51,53,72,13.33,RU,1597532396
317,narsaq,60.92,-46.05,51.8,66,97,8.05,GL,1597532397
318,araouane,18.9,-3.53,102.58,20,56,13.27,ML,1597532397
319,salalah,17.02,54.09,77.0,100,90,8.05,OM,1597532397
320,qaqortoq,60.72,-46.03,51.8,66,92,8.05,GL,1597532397
321,praia da vitoria,38.73,-27.07,75.2,83,20,9.73,PT,1597532397
322,belaya gora,68.53,146.42,40.05,73,100,8.79,RU,1597532398
323,ilulissat,69.22,-51.1,42.8,48,6,5.82,GL,1597532398
324,kaseda,31.42,130.32,75.09,100,20,4.7,JP,1597532398
325,celestun,20.87,-90.4,85.33,71,13,18.14,MX,1597532398
326,gornyy,55.12,83.91,56.26,94,100,1.3,RU,1597532399
327,georgetown,5.41,100.34,79.25,94,20,2.24,MY,1597532399
328,nenjiang,49.18,125.22,62.17,75,0,2.89,CN,1597532399
329,camocim,-2.9,-40.84,79.57,67,56,18.59,BR,1597532399
330,tuatapere,-46.13,167.68,50.0,82,3,1.01,NZ,1597532399
331,neuquen,-38.95,-68.06,51.8,34,4,11.41,AR,1597532191
332,bashtanka,47.41,32.44,60.89,52,66,6.4,UA,1597532223
333,monrovia,6.3,-10.8,76.55,83,100,13.38,LR,1597532220
334,ayagoz,47.97,80.44,56.23,55,0,10.18,KZ,1597532400
335,opotiki,-38.08,177.28,48.99,69,2,8.99,NZ,1597532402
336,coihueco,-36.62,-71.83,48.2,74,0,12.75,CL,1597532402
337,nanortalik,60.14,-45.24,42.76,80,44,9.06,GL,1597532402
338,fairbanks,64.84,-147.72,68.74,45,20,6.93,US,1597532146
339,novo aripuana,-5.12,-60.38,85.21,39,44,1.66,BR,1597532404
340,nelson bay,-32.72,152.15,59.13,62,0,20.8,AU,1597532405
341,dordrecht,51.81,4.67,71.11,85,9,1.99,NL,1597532405
342,nemuro,43.32,145.57,61.9,97,97,2.42,JP,1597532406
343,udachnyy,66.42,112.4,44.6,75,27,2.68,RU,1597532407
344,cukai,4.25,103.42,75.09,94,77,2.84,MY,1597532407
