,City,Latitude,Longitude,Temperature,Humidity,Cloud_Cover,Wind,Country,Date
87,chokurdakh,70.63,147.92,38.95,88,100,7.31,RU,1597532341
88,chapais,49.78,-74.85,77.0,41,1,11.41,CA,1597532341
89,arraial do cabo,-22.97,-42.03,73.44,84,18,13.24,BR,1597532342
90,apatity,67.56,33.4,53.35,93,99,4.83,RU,1597532342
91,sigiriya,7.95,80.74,75.24,79,100,10.56,LK,1597532343
92,mumford,5.26,-0.76,74.53,90,89,10.27,GH,1597532343
93,barrow,71.29,-156.79,39.2,100,90,9.17,US,1597532343
94,namatanai,-3.67,152.43,83.23,72,9,4.43,PG,1597532344
95,mugur-aksy,50.35,90.5,47.21,82,100,6.96,RU,1597532344
96,muisne,0.6,-80.03,80.6,78,75,12.75,EC,1597532344
97,shizukuishi,39.68,140.98,75.2,94,75,2.24,JP,1597532344
98,carnarvon,-24.87,113.63,65.39,65,28,16.98,AU,1597532344
99,puerto ayora,-0.74,-90.35,68.0,87,67,5.01,EC,1597532345
100,peniche,39.36,-9.38,65.34,89,0,7.25,PT,1597532345
101,cabo san lucas,22.89,-109.91,92.19,55,5,18.34,MX,1597532345
102,olinda,-8.01,-34.86,78.8,78,74,5.82,BR,1597532345
103,estevan,49.13,-102.98,80.24,29,1,11.41,CA,1597532345
104,tuktoyaktuk,69.45,-133.04,50.0,66,90,6.93,CA,1597532346
105,charters towers,-20.1,146.27,63.97,37,0,11.81,AU,1597532346
106,hamilton,39.18,-84.53,84.69,58,75,7.25,US,1597532182
107,lardos,36.09,28.02,82.58,51,0,8.05,GR,1597532346
108,asyut,27.18,31.18,82.4,48,0,8.05,EG,1597532347
109,qui nhon,13.77,109.23,78.82,80,100,4.21,VN,1597532347
110,ust-ilimsk,58.0,102.66,48.25,72,0,2.93,RU,1597532347
111,belyy,55.84,32.94,55.78,95,94,3.71,RU,1597532347
112,dossor,47.53,52.98,65.26,49,7,10.29,KZ,1597532348
113,bambous virieux,-20.34,57.76,71.8,73,20,14.99,MU,1597532348
114,brewster,41.4,-73.62,73.15,60,1,14.99,US,1597532348
115,magistralnyy,56.17,107.45,47.73,74,0,5.86,RU,1597532349
116,tasiilaq,65.61,-37.64,42.8,87,100,23.04,GL,1597532349
117,tiksi,71.69,128.87,41.63,84,92,3.6,RU,1597532349
118,byron bay,-28.65,153.62,60.93,63,0,11.41,AU,1597532103
119,holme,56.11,10.17,62.26,82,0,1.28,DK,1597532350
120,esperance,-33.87,121.9,57.2,71,90,13.87,AU,1597532350
121,quatre cocos,-20.21,57.76,71.82,73,20,14.99,MU,1597532350
122,baghdad,33.34,44.4,89.6,24,0,10.29,IQ,1597532278
123,pochutla,15.74,-96.47,91.99,62,70,5.01,MX,1597532352
124,kutum,14.2,24.67,77.18,58,77,6.53,SD,1597532352
125,yellowknife,62.46,-114.35,60.03,51,75,9.17,CA,1597532352
126,samarai,-10.62,150.67,76.59,75,84,11.01,PG,1597532352
127,cayenne,4.93,-52.33,75.2,94,94,3.36,GF,1597532353
128,vao,-22.67,167.48,69.28,77,1,20.0,NC,1597532353
129,hermanus,-34.42,19.23,46.0,90,60,14.74,ZA,1597532353
130,hilo,19.73,-155.09,78.58,69,90,10.29,US,1597532353
131,ballina,-28.87,153.57,61.18,63,0,11.41,AU,1597532354
132,markovo,57.32,107.09,49.21,68,0,7.94,RU,1597532354
133,emba,48.83,58.14,62.73,53,58,7.23,KZ,1597532354
134,le havre,49.49,0.11,62.6,100,90,6.93,FR,1597532354
135,veraval,20.9,70.37,81.57,83,94,20.87,IN,1597532354
136,yinchuan,38.47,106.27,71.24,64,31,2.08,CN,1597532355
137,juneau,58.3,-134.42,55.22,93,90,11.41,US,1597532103
138,makakilo city,21.35,-158.09,86.72,52,75,5.82,US,1597532118
139,kahului,20.89,-156.47,84.47,43,40,21.92,US,1597532355
140,caraz,-9.05,-77.81,65.86,41,88,1.32,PE,1597532356
141,nyurba,63.28,118.33,46.89,64,98,6.53,RU,1597532356
142,iracoubo,5.48,-53.2,80.49,80,92,6.15,GF,1597532356
143,brodokalmak,55.57,62.08,55.4,100,75,6.71,RU,1597532356
144,chiredzi,-21.05,31.67,63.7,30,0,4.23,ZW,1597532356
145,monroe,43.15,-77.68,79.77,54,75,10.29,US,1597532257
146,talnakh,69.49,88.4,59.0,67,100,8.95,RU,1597532357
147,oistins,13.07,-59.53,84.2,79,40,11.41,BB,1597532357
148,debar,41.52,20.53,75.2,88,40,3.36,MK,1597532357
149,san quintin,30.48,-115.95,79.66,57,60,8.55,MX,1597532357
150,manta,-0.95,-80.73,77.0,73,20,13.87,EC,1597532260
151,roma,43.21,-75.46,79.16,47,75,6.93,US,1597532252
152,totness,5.88,-56.32,81.68,78,68,9.93,SR,1597532358
153,ahipara,-35.17,173.17,54.68,68,71,6.22,NZ,1597532358
154,hualmay,-11.1,-77.61,61.75,79,31,11.77,PE,1597532358
155,staryy nadym,65.61,72.68,46.27,89,100,15.79,RU,1597532359
156,griffin,33.25,-84.26,73.72,100,1,6.93,US,1597532359
157,chuy,-33.7,-53.46,47.25,65,0,7.85,UY,1597532359
158,port moresby,-9.44,147.18,75.2,83,40,11.41,PG,1597532155
159,malanje,-9.54,16.34,63.01,69,0,5.41,AO,1597532359
160,liverpool,53.41,-2.98,64.09,77,75,11.41,GB,1597532193
161,young,-32.68,-57.63,54.0,42,0,8.05,UY,1597532360
162,kloulklubed,7.04,134.26,78.8,88,90,8.05,PW,1597532360
163,nieuwpoort,51.12,2.77,67.68,100,18,2.24,BE,1597532360
164,chicama,-7.84,-79.15,63.72,74,68,8.52,PE,1597532360
165,geraldton,-28.77,114.6,60.8,67,75,19.46,AU,1597532361
166,lata,40.16,-8.33,61.18,88,20,2.24,PT,1597532361
167,newport,51.59,-3.0,62.47,97,100,5.93,GB,1597532216
168,payo,-3.75,103.64,72.75,93,59,1.88,ID,1597532361
169,lensk,60.73,114.93,45.86,74,1,3.78,RU,1597532362
170,mahabaleshwar,17.92,73.67,61.59,100,100,7.52,IN,1597532362
171,lebu,-37.62,-73.65,45.25,72,0,11.59,CL,1597532362
172,baraboo,43.47,-89.74,72.14,53,75,9.17,US,1597532362
173,waddan,29.16,16.14,79.38,37,0,9.95,LY,1597532362
174,upernavik,72.79,-56.15,41.63,70,1,10.0,GL,1597532363
175,codrington,-38.27,141.97,49.55,92,2,7.16,AU,1597532363
176,leduc,53.27,-113.55,72.82,53,75,8.05,CA,1597532363
177,brae,60.4,-1.35,53.6,93,26,3.36,GB,1597532364
178,san policarpo,12.18,125.51,79.32,85,99,3.78,PH,1597532364
179,okhotsk,59.38,143.3,59.22,77,100,5.5,RU,1597532364
180,itarema,-2.92,-39.92,78.55,74,94,17.07,BR,1597532364
181,khatanga,71.97,102.5,54.46,59,0,5.61,RU,1597532364
182,zavetnoye,47.12,43.89,56.32,58,0,5.19,RU,1597532365
183,caravelas,-17.71,-39.25,72.97,88,14,5.97,BR,1597532365
184,ostrovnoy,68.05,39.51,56.75,89,100,19.39,RU,1597532365
185,aksu,41.12,80.26,72.16,35,10,6.64,CN,1597532365
186,eureka,40.8,-124.16,83.34,39,1,9.17,US,1597532256
187,wanaka,-44.7,169.15,39.0,79,11,0.65,NZ,1597532366
188,evensk,61.95,159.23,58.71,65,81,10.98,RU,1597532366
189,vila franca do campo,37.72,-25.43,73.4,88,40,10.29,PT,1597532366
190,vestmannaeyjar,63.44,-20.27,53.4,93,92,8.46,IS,1597532367
191,hervey bay,-25.3,152.85,66.0,62,0,5.99,AU,1597532228
192,isangel,-19.55,169.27,73.98,65,98,11.99,VU,1597532367
193,salym,60.06,71.48,48.56,86,99,3.65,RU,1597532367
194,bisira,8.52,-81.71,60.21,100,100,1.36,PA,1597532368
195,sorland,67.67,12.69,52.5,69,57,29.04,NO,1597532368
196,mahon,39.89,4.27,77.0,83,20,5.82,ES,1597532368
197,kaohsiung,22.62,120.31,78.08,94,75,4.7,TW,1597532368
198,egvekinot,66.32,-179.17,56.71,54,94,6.67,RU,1597532369
199,seremban,2.73,101.94,78.4,88,40,3.36,MY,1597532369
200,lexington,37.99,-84.48,84.04,62,75,6.93,US,1597532191
201,road town,18.42,-64.62,84.15,74,40,8.05,VG,1597532186
202,hasaki,35.73,140.83,83.53,94,75,8.05,JP,1597532369
203,chazuta,-6.57,-76.14,79.66,76,45,0.51,PE,1597532370
204,yarada,17.65,83.27,77.0,100,90,11.41,IN,1597532370
205,ribeira grande,38.52,-28.7,73.65,86,32,15.79,PT,1597532370
206,ponta do sol,32.67,-17.1,70.68,68,20,6.93,PT,1597532370
207,cherskiy,68.75,161.3,52.75,52,92,6.76,RU,1597532370
208,chizhou,30.66,117.48,82.56,80,1,2.51,CN,1597532371
209,florianopolis,-27.61,-48.5,66.04,77,20,3.36,BR,1597532371
210,ulaanbaatar,47.91,106.88,51.8,93,75,4.47,MN,1597532355
211,portland,45.52,-122.68,97.16,35,0,3.13,US,1597532353
212,kavieng,-2.57,150.8,83.68,69,45,4.83,PG,1597532372
213,beisfjord,68.38,17.6,43.56,87,97,25.28,NO,1597532372
214,te anau,-45.42,167.72,39.74,80,62,0.49,NZ,1597532372
215,bucak,37.46,30.59,72.64,37,0,11.41,TR,1597532373
216,kudahuvadhoo,2.67,72.89,82.94,66,90,0.63,MV,1597532373
217,clyde river,70.47,-68.59,42.8,87,20,8.05,CA,1597532373
218,cam ranh,11.92,109.16,80.6,83,20,2.24,VN,1597532373
219,batagay-alyta,67.8,130.41,35.85,92,100,2.62,RU,1597532374
220,mogadishu,2.04,45.34,75.34,78,85,16.11,SO,1597532079
221,kokopo,-4.35,152.26,81.7,77,1,7.83,PG,1597532374
222,port-gentil,-0.72,8.78,77.0,83,90,12.73,GA,1597532374
223,kupang,-10.17,123.58,73.4,83,20,5.82,ID,1597532229
224,burnie,-41.07,145.92,52.92,70,100,7.0,AU,1597532375
225,mount abu,24.59,72.71,67.33,100,100,4.38,IN,1597532375
226,olafsvik,64.89,-23.71,52.77,94,100,14.92,IS,1597532375
227,pitimbu,-7.47,-34.81,73.4,94,47,5.82,BR,1597532375
228,ancud,-41.87,-73.82,43.81,93,90,8.05,CL,1597532376
229,mudgee,-32.59,149.59,49.6,76,90,18.34,AU,1597532376
230,palm coast,29.59,-81.21,75.2,94,1,4.97,US,1597532376
231,bud,39.45,-86.18,83.19,65,90,4.7,US,1597532376
232,inhambane,-23.86,35.38,65.97,78,0,12.75,MZ,1597532377
233,constitucion,-35.33,-72.42,48.0,64,0,10.51,CL,1597532377
234,nago,26.59,127.98,83.55,79,40,5.82,JP,1597532377
235,dikson,73.51,80.55,43.03,87,39,4.83,RU,1597532377
236,jining,35.41,116.58,82.0,1,32,3.29,CN,1597532377
237,maldonado,-34.67,-54.92,51.53,57,0,6.93,UY,1597532323
238,andenes,69.31,16.12,48.2,76,97,32.21,NO,1597532378
239,galle,6.04,80.22,78.22,89,99,7.74,LK,1597532378
240,nouadhibou,20.93,-17.03,73.02,81,1,22.75,MR,1597532378
241,mehamn,71.04,27.85,47.57,78,60,24.7,NO,1597532378
242,gambo,4.65,22.26,71.55,94,100,1.45,CF,1597532379
243,aleksandro-nevskiy,53.48,40.21,53.26,85,57,6.29,RU,1597532379
244,mapiripan,2.89,-72.13,77.38,91,100,3.94,CO,1597532379
245,mayumba,-3.43,10.66,73.33,85,66,6.42,GA,1597532379
246,santa maria,-29.68,-53.81,60.8,82,20,1.12,BR,1597532249
247,yumen,40.28,97.2,61.75,38,40,7.23,CN,1597532380
248,axim,4.87,-2.24,75.09,87,86,8.7,GH,1597532380
249,cartagena,10.4,-75.51,86.0,79,75,8.05,CO,1597532380
250,palmas,-10.21,-48.36,87.8,40,77,3.69,BR,1597532381
251,aklavik,68.22,-135.01,51.8,87,90,10.29,CA,1597532381
252,shingu,33.73,135.98,86.81,65,0,2.66,JP,1597532381
253,shangzhi,45.22,127.97,68.0,89,15,6.67,CN,1597532382
254,bose,45.46,8.01,70.66,60,86,5.86,IT,1597532382
255,nome,64.5,-165.41,55.15,93,90,9.17,US,1597532382
256,vostok,46.49,135.88,63.55,95,33,5.55,RU,1597532382
257,longyearbyen,78.22,15.64,41.0,80,75,2.24,SJ,1597532382
258,black river,18.03,-77.85,87.87,74,40,16.11,JM,1597532345
259,greenwood,34.17,-82.12,73.2,100,40,6.93,US,1597532383
260,faanui,-16.48,-151.75,78.44,79,83,14.36,PF,1597532383
261,provideniya,64.38,-173.3,56.8,58,3,7.7,RU,1597532383
262,puerto escondido,15.85,-97.07,87.8,66,75,9.17,MX,1597532384
263,shasta lake,40.68,-122.37,107.94,15,0,5.99,US,1597532384
264,tocopilla,-22.09,-70.2,58.37,64,22,7.38,CL,1597532384
265,necochea,-38.55,-58.74,45.0,55,59,10.0,AR,1597532110
266,avarua,-21.21,-159.78,77.0,94,0,4.7,CK,1597532385
267,pakxan,18.38,103.66,73.02,97,100,2.82,LA,1597532385
268,tautira,-17.73,-149.15,84.2,62,40,14.99,PF,1597532385
269,chapleau,47.84,-83.4,75.2,50,90,12.75,CA,1597532385
270,chernyshevskiy,63.01,112.47,45.82,72,16,2.89,RU,1597532385
271,haines junction,60.75,-137.51,52.9,84,100,2.86,CA,1597532386
272,carauari,-4.88,-66.9,84.06,58,81,1.86,BR,1597532386
273,hella,67.2,14.43,53.51,62,40,27.51,NO,1597532386
274,oktyabrskoye,43.06,44.74,62.29,67,67,6.71,RU,1597532386
275,gimli,50.63,-96.99,76.73,71,19,7.0,CA,1597532386
